Date,Open,High,Low,Close,Volume
2023-12-11,124.91707111422339,125.7653919513422,123.58400770546679,125.6162338256836,2053900
2023-12-12,125.55099915795181,126.45525093302345,124.52556882582755,125.82135009765625,2572000
2023-12-13,125.8493042440915,128.68323787347316,125.01031457226567,127.4061050415039,2564800
2023-12-14,129.25910342937783,129.73881113994318,123.9352276578776,125.0357437133789,2746400
2023-12-15,123.80355200616245,126.45608913101822,122.99462377155649,124.32089233398438,5289700
2023-12-18,124.6312939041879,126.50312001354246,124.08573632931135,124.46199035644531,2117700
2023-12-19,125.10158674855649,127.24618423032197,124.95108515445526,126.55012512207031,2072200
2023-12-20,126.16451571615667,127.06749679878169,124.80061441724563,124.85706329345703,1613400
2023-12-21,126.16448550561118,126.97341363943413,125.01693595873161,126.89816284179688,1237200
2023-12-22,127.32142498076016,128.00806871481043,126.19269181931043,127.09567260742188,1094200
2023-12-26,127.16154265303508,127.71650117904244,126.91697395487222,127.52838134765625,1218200
2023-12-27,127.42492437949478,128.33732071139372,127.20858727220028,128.02691650390625,975700
2023-12-28,128.01749872370968,128.34670482590496,127.20857056720148,128.0363006591797,944600
2023-12-29,126.82293722054143,127.92345344329004,126.48431574026303,126.58778381347656,1499500
2024-01-02,126.04221470560059,127.45313501946926,125.83527857802329,127.19916534423828,1300000
2024-01-03,126.23973973720635,126.57836115947413,124.46198085845617,125.581298828125,1680800
2024-01-04,125.19566488878489,126.16449566335616,123.75652735558202,123.95404815673828,1470900
2024-01-05,123.10749649604746,125.01694070666645,122.27975204322333,123.06046295166016,1444100
2024-01-08,122.72185481208265,126.10806943785634,122.54313593563568,125.7600326538086,1250900
2024-01-09,124.69714357373284,125.92934501161692,123.81296455193474,125.68477630615234,875600
2024-01-10,126.04220044861042,128.82642253486773,125.36495762634841,128.4219512939453,1492500
2024-01-11,127.98928259553583,128.85464527132336,125.98577129839461,126.04220581054688,982300
2024-01-12,127.57541383015037,130.05863290056732,127.27441062034322,128.93930053710938,1631800
2024-01-16,128.807616577802,131.5542063094206,128.807616577802,130.44427490234375,2537800
2024-01-17,128.7982031982458,130.31259154888537,125.86349359059588,127.50956726074219,1782700
2024-01-18,127.6788727252075,128.58185358457087,125.9481330982874,126.55012512207031,1542700
